Epoch,Loss_D,Loss_G,PSNR,SSIM,Score_D,Score_G
1,0.9169506882907388,0.014715195927255882,22.600936345560537,0.6868636271532844,0.5691599229995362,0.4659736391170296
2,0.9996069881873216,0.007353181817909022,23.81202639431594,0.7571129946848926,0.40617320239187,0.4011852216006753
3,1.0004597672730862,0.006431729060313302,24.058868577400652,0.7962314973157995,0.16452013881219005,0.1657089566363546
4,1.0000473107120949,0.005782310696218364,25.038582753921908,0.7909470833750332,0.18595083436164042,0.18282026804618481
5,0.9999999856235025,0.0058905095749807925,23.025256391835903,0.7923767422227298,5.468394086173231e-07,5.297987403473272e-07
6,0.999999959939968,0.005619523393960592,25.123863399798058,0.8063438662360696,6.809038112843988e-07,6.465706974540264e-07
7,0.9999999552287028,0.005334677671132509,24.78299976525537,0.8112227279999676,6.818663177467418e-07,6.391033855192437e-07
8,0.9999999390533584,0.005298688731819927,25.678767456392244,0.8196984895537881,9.393378813856653e-07,8.78834358625322e-07
9,0.999999655506568,0.005142705397245413,23.852916999374045,0.8120635656749501,2.163248820966282e-06,1.8816923960923284e-06
10,1.0000269831725936,0.004997802150664394,25.924461527135065,0.8237121441785027,0.0004436096719993424,0.00045257868773586243
