Epoch,Loss_D,Loss_G,PSNR,SSIM,Score_D,Score_G
1,0.8003475715157514,0.02236452014547979,19.8447130805577,0.5134004652500153,0.310472087645959,0.09387955439357072
2,0.9652653076548776,0.014925898777510592,19.43971090136452,0.5194357246511123,0.4002370120451122,0.35158625916092695
3,0.8797478265962201,0.013614938701698167,19.45344468774499,0.5378257338264409,0.6477140991844816,0.5204099112532442
4,1.0087152974762603,0.012818033993690314,20.073358287765387,0.5371227289298002,0.6200476981065944,0.6272709076989911
5,1.005481863921274,0.012710344464836007,20.37264962259101,0.5545256832767935,0.651182260113562,0.6558720169524233
6,1.002221027534165,0.012348310436808063,21.050750143337527,0.5537624144904754,0.7646997661219386,0.7663527809502836
7,0.9998432308756663,0.011885142641331621,20.89346052591661,0.5597217074913137,0.9896681915928504,0.9906645831947555
8,0.9999962128850515,0.011613062617486108,21.0553476823208,0.561780479199746,0.9999016892695856,0.9998962824929974
9,1.0000003703911147,0.011595714556689033,19.90695945738633,0.5542341340990627,0.9998106706213808,0.9998095381902363
10,1.000004087008402,0.011698082763322456,20.937667566298337,0.5600894044777927,0.9994287629184608,0.9994278790422543
